Temperature (K)	Pressure (MPa)	Density (l, mol/m3)	Volume (l, m3/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/m3)	Volume (v, m3/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
149.01	4.5567	18429.	5.4261e-05	-1.1799	-0.93264	84.852	24.015	382.64	208.88	2.9924	3.9345e-05	0.049668	0.00012032	8601.7	0.00011626	0.17667	0.70642	95.852	28.576	550.14	165.31	7.6122	1.9544e-05	0.031843
149.13	4.5765	18303.	5.4636e-05	-1.1623	-0.91228	84.982	24.326	408.78	205.53	3.0600	3.8956e-05	0.049661	0.00011017	8714.8	0.00011475	0.15929	0.68443	95.689	28.916	591.66	164.65	7.5287	1.9695e-05	0.032482
149.24	4.5964	18171.	5.5034e-05	-1.1441	-0.89115	85.116	24.664	439.20	202.07	3.1311	3.8556e-05	0.049673	0.00010021	8833.4	0.00011321	0.14105	0.66140	95.519	29.280	639.83	163.94	7.4424	1.9855e-05	0.033177
149.35	4.6164	18032.	5.5456e-05	-1.1252	-0.86916	85.256	25.034	475.03	198.51	3.2061	3.8142e-05	0.049709	9.0467e-05	8958.2	0.00011163	0.12185	0.63718	95.342	29.672	696.39	163.18	7.3532	2.0024e-05	0.033940
149.46	4.6365	17887.	5.5907e-05	-1.1054	-0.84617	85.402	25.440	517.83	194.82	3.2855	3.7714e-05	0.049773	8.0946e-05	9090.1	0.00011001	0.10156	0.61162	95.156	30.096	763.69	162.35	7.2606	2.0204e-05	0.034783
149.57	4.6566	17733.	5.6392e-05	-1.0846	-0.82203	85.556	25.889	569.83	191.01	3.3700	3.7267e-05	0.049875	7.1663e-05	9230.2	0.00010834	0.080011	0.58451	94.960	30.558	845.05	161.45	7.1641	2.0397e-05	0.035725
149.68	4.6768	17569.	5.6918e-05	-1.0627	-0.79656	85.719	26.390	634.26	187.04	3.4601	3.6800e-05	0.050027	6.2635e-05	9379.9	0.00010661	0.056990	0.55559	94.752	31.064	945.33	160.46	7.0632	2.0604e-05	0.036790
149.80	4.6971	17394.	5.7491e-05	-1.0395	-0.76947	85.892	26.953	716.09	182.90	3.5569	3.6308e-05	0.050247	5.3882e-05	9540.9	0.00010481	0.032223	0.52454	94.530	31.623	1071.8	159.37	6.9572	2.0829e-05	0.038012
149.91	4.7175	17205.	5.8124e-05	-1.0146	-0.74043	86.078	27.594	823.27	178.55	3.6613	3.5786e-05	0.050563	4.5429e-05	9715.9	0.00010292	0.0053389	0.49089	94.292	32.247	1236.3	158.15	6.8450	2.1077e-05	0.039442
150.02	4.7380	16998.	5.8832e-05	-0.98769	-0.70894	86.280	28.333	969.37	173.97	3.7752	3.5226e-05	0.051019	3.7306e-05	9908.2	0.00010093	-0.024183	0.45401	94.032	32.952	1458.2	156.77	6.7253	2.1352e-05	0.041157
150.13	4.7586	16768.	5.9638e-05	-0.95806	-0.67427	86.503	29.202	1179.5	169.10	3.9005	3.4618e-05	0.051692	2.9552e-05	10123.	9.8785e-05	-0.057108	0.41297	93.745	33.760	1773.6	155.19	6.5963	2.1663e-05	0.043285
150.24	4.7792	16507.	6.0581e-05	-0.92477	-0.63524	86.754	30.247	1505.3	163.87	4.0405	3.3944e-05	0.052730	2.2219e-05	10368.	9.6447e-05	-0.094648	0.36629	93.421	34.708	2255.3	153.32	6.4548	2.2024e-05	0.046057
150.35	4.8000	16200.	6.1728e-05	-0.88608	-0.58979	87.048	31.552	2073.1	158.15	4.2006	3.3174e-05	0.054453	1.5384e-05	10659.	9.3818e-05	-0.13892	0.31141	93.042	35.853	3077.6	151.06	6.2958	2.2460e-05	0.049948
150.46	4.8209	15818.	6.3219e-05	-0.83839	-0.53362	87.413	33.278	3282.8	151.73	4.3909	3.2246e-05	0.057742	9.1625e-06	11024.	9.0709e-05	-0.19426	0.24304	92.575	37.302	4779.6	148.15	6.1094	2.3020e-05	0.056181
150.58	4.8419	15276.	6.5461e-05	-0.77144	-0.45448	87.930	35.843	7329.3	144.13	4.6372	3.0986e-05	0.066358	3.7783e-06	11548.	8.6592e-05	-0.27280	0.14647	91.921	39.310	10204.	143.99	5.8689	2.3851e-05	0.069582
150.69	4.8630	13407.	7.4586e-05	-0.53574	-0.17303	89.788	undefined	undefined	undefined	5.2503	2.7105e-05	undefined	undefined	13407.	7.4586e-05	-0.53574	-0.17303	89.788	undefined	undefined	undefined	5.2503	2.7105e-05	undefined
